test_case,size,QuickSelect,Select Linear
random,100k,0.048620185526,0.0016251590575000001
random,500k,0.24979970567999998,0.0085248388476
random,1000k,0.48950734467,0.0163749293994
nearly_sorted,100k,0.044337760740999994,0.0012025837688700001
nearly_sorted,500k,0.22158910734,0.0062909350633
nearly_sorted,1000k,0.43194525995,0.011839649482300001
reverse_sorted,100k,0.048972434892,0.0011572506890499999
reverse_sorted,500k,0.24061277053000002,0.005482404483600001
reverse_sorted,1000k,0.4873605696500001,0.0116793121824
